strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco
01.fna	Bacillus anthracis	2025-06-25	Tajikistan	Rudaki	Homo sapiens 	secretions of cutaneous affect		JBYOGA01	SAMN53867183	GCA_057801355.1	Complete Genome	56	3			98.57	0.48	clinical	NCBI	bacillus_odb12	99.5	98.7	0.8	0.5	0	778	11	5229389	5229389	0.000%	3
02.fna	Bacillus anthracis	2025-06-26	Tajikistan	Rudaki	Homo sapiens 	secretions of cutaneous affect		JBYOGB01	SAMN53873532	GCA_057801375.1	Complete Genome	48	3			98.28	0.4	clinical	NCBI	bacillus_odb12	99.5	98.7	0.8	0.5	0	778	11	5229596	5229596	0.000%	3
03.fna	Bacillus anthracis	2025-06-24	Tajikistan	Levakant Town	Bos taurus	meat sample		JBSXXK01	SAMN53873845	GCA_057801395.1	Complete Genome	42	3			98.28	0.4	clinical	NCBI	bacillus_odb12	99.5	98.7	0.8	0.5	0	778	11	5229599	5229599	0.000%	3
09RA5721.fna	Bacillus anthracis	2009-XX-XX	Germany	Bavaria	Bos taurus		B.Br.004_(FrenchB)	PRJNA656733	SAMN15801190	GCA_017814005.1	Scaffold	70	32	47.953877	11.984475	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1161746	1161746	0.002%	31
1033.fna	Bacillus anthracis	2001-04-12	Chile	Valdivia	Bos sp.	Carcass	A.Br.073	PRJNA635616	SAMN15046868	GCA_016484445.1	Contig	30.4	55	-40	-72	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	323280	323280	0.000%	55
11962596.fna	Bacillus anthracis	1978-XX-XX	Japan	Shizuoka			B.Br.008_(KrugerB)	PRJDB8367	SAMD00171951	GCA_006742565.1	Complete	188	3	34.9332488	138.0955398	99.43	0.29	unknown	NCBI	bacillus_odb12	99	98.2	0.8	0.6	0.4	778	11	5209717	5209717	0.000%	3
12RA1944.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370837	GCA_029694465.1	Contig	120	116	51.1638175	10.4478313	99.43	0.86	unknown	NCBI	bacillus_odb12	99.2	97.9	1.3	0.6	0.1	778	11	115798	115798	0.000%	116
12RA1945_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370838	GCA_029694485.1	Contig	118	165	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.1	1.2	0.6	0.1	778	11	96398	96398	0.000%	165
12RA1945.fna	Bacillus anthracis	2012-XX-XX	Germany	Stendal	Bos taurus	Lymph Node	A.Br.081_(Ames)	PRJNA656733	SAMN15801191	GCA_017813975.1	Scaffold	44	41	52.990538	11.679493	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	338414	337588	0.002%	40
12RA1949_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370839	GCA_029694445.1	Contig	127	161	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	103282	103282	0.000%	148
